fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
HSBC Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,2148.7,2.71%,0.99%,2.71% (Jul 2023),1.12% (Dec 2022),6.21 L,2.16 L,0.99
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,1128.8,2.67%,0.06%,2.7% (Mar 2023),1.84% (Aug 2022),3.26 L,0.00,0.06
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,11447.8,2.52%,0.11%,2.52% (Jul 2023),2.01% (Dec 2022),33.10 L,88.68 k,0.11
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,345.8,2.42%,0.05%,2.44% (Mar 2023),1.63% (Sep 2022),1.00 L,0.00,0.05
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,2127.7,2.47%,0.35%,2.47% (Jul 2023),1.77% (Aug 2022),13.35 L,0.00,0.35
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,481.3,2.08%,0.24%,2.08% (Jul 2023),0% (Aug 2022),3.02 L,0.00,0.24
ITI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,Aditya Birla Fashion and Retail Ltd.,Speciality retail,106.6,2.10%,0.01%,4.07% (Sep 2022),2.09% (Jun 2023),4.78 L,0.00,0.01
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,6916.5,4.74%,0.35%,4.74% (Jul 2023),1.86% (Aug 2022),17.38 L,0.00,0.35
JM Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,62.9,2.83%,0.50%,2.83% (Jul 2023),0% (Aug 2022),15.80 k,4.15 k,0.5
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,56.6,2.81%,0.27%,2.81% (Jul 2023),2.11% (Aug 2022),14.22 k,0.00,0.27
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,1810.0,2.10%,0.16%,2.16% (Mar 2023),1.63% (Aug 2022),4.55 L,0.00,0.16
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,Ashok Leyland Ltd.,Commercial vehicles,467.7,3.29%,0.73%,3.29% (Jul 2023),0% (Aug 2022),25.42 L,5.00 L,0.73
Baroda BNP Paribas Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,Ashok Leyland Ltd.,Commercial vehicles,312.8,2.19%,0.08%,2.28% (Aug 2022),1.94% (May 2023),17.00 L,0.00,0.08
