fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,491.6,3.20%,0.26%,3.2% (Aug 2023),0% (Sep 2022),1.33 L,12.00 k,0.26
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,739.0,3.02%,0.03%,3.75% (May 2023),1.88% (Sep 2022),2.00 L,0.00,0.03
HSBC Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,2295.8,2.89%,0.18%,2.89% (Aug 2023),1.12% (Dec 2022),6.21 L,0,0.18
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,1206.1,2.79%,0.12%,2.79% (Aug 2023),1.84% (Sep 2022),3.26 L,0.00,0.12
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,12508.8,2.65%,0.13%,2.65% (Aug 2023),2.01% (Dec 2022),33.85 L,75.00 k,0.13
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,2261.9,2.55%,0.08%,2.55% (Aug 2023),1.94% (Sep 2022),13.50 L,15.00 k,0.08
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/ausmallfinancebank/ASF02,Au Small Finance Bank Ltd.,Other bank,717.5,2.09%,0.25%,2.09% (Aug 2023),0% (Sep 2022),9.92 L,1.59 L,0.25
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,Aurobindo Pharma Ltd.,Pharmaceuticals,763.6,3.12%,0.24%,3.12% (Aug 2023),0% (Sep 2022),9.20 L,1.10 L,0.24
Franklin India Prima Fund - Direct - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,1947.1,2.23%,0.02%,2.5% (Oct 2022),1.87% (Jan 2023),1.46 Cr,0,0.02
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,6576.6,4.37%,0.60%,4.37% (Aug 2023),2.64% (Sep 2022),61.44 L,2.36 L,0.6
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,4083.3,3.43%,0.15%,4.13% (Jan 2023),3.24% (Jun 2023),38.15 L,-1.74 L,0.15
Kotak Emerging Equity Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,8618.5,2.60%,0.21%,2.6% (Aug 2023),1.31% (Sep 2022),80.52 L,0.00,0.21
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,Bharat Forge Ltd.,Castings & forgings,2063.7,2.32%,0.23%,2.32% (Aug 2023),1.8% (Sep 2022),19.28 L,0.00,0.23
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,2683.4,4.68%,0.46%,11.77% (Jan 2023),4.2% (Jun 2023),62.50 L,7.50 L,0.46
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/cgpowerindustrialsolutions/CG,CG Power and Industrial Solutions Ltd.,Heavy electrical equipment,285.4,3.32%,0.03%,3.32% (Aug 2023),1.72% (Sep 2022),6.65 L,0.00,0.03
Canara Robeco Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRISIL Ltd.,Other financial services,470.2,3.06%,0.05%,3.06% (Aug 2023),0% (Sep 2022),1.18 L,9.00 k,0.05
HSBC Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRISIL Ltd.,Other financial services,1693.3,2.13%,0.02%,2.52% (Sep 2022),1.76% (Nov 2022),4.26 L,0,0.02
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/cholamandalaminvestmentfinancecompany/CDB,Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),1963.2,3.42%,0.18%,4.66% (May 2023),2.41% (Feb 2023),17.50 L,2.50 L,0.18
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,3826.5,6.67%,0.38%,6.67% (Aug 2023),0% (Sep 2022),7.00 L,0.00,0.38
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,62.5,3.03%,0.36%,3.03% (Aug 2023),1.98% (Sep 2022),11.43 k,0.00,0.36
Edelweiss Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,996.2,2.72%,0.77%,2.72% (Aug 2023),0% (Sep 2022),1.82 L,39.57 k,0.77
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,12006.9,2.54%,0.43%,2.54% (Aug 2023),1.51% (Sep 2022),21.96 L,1.57 L,0.43
Mirae Asset Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,2883.2,2.42%,0.43%,2.42% (Aug 2023),1.56% (Sep 2022),5.27 L,46.29 k,0.43
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,2033.7,2.29%,0.26%,2.29% (Aug 2023),1.04% (Sep 2022),3.72 L,0.00,0.26
Invesco India Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/coforgelimited/NII02,Coforge Ltd.,Computers - software & consulting,759.3,2.22%,0.24%,2.33% (May 2023),1.4% (Sep 2022),1.39 L,0.00,0.24
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,Coromandel International Ltd.,Fertilizers,5247.5,3.49%,0.15%,3.49% (Aug 2023),2.74% (Dec 2022),48.10 L,71.23 k,0.15
