Stock_Invested_in,count
KEI Industries Ltd.,8
Cholamandalam Financial Holdings Ltd.,7
Cyient Ltd.,7
Safari Industries (India) Ltd.,6
Lemon Tree Hotels Ltd.,5
JB Chemicals & Pharmaceuticals Ltd.,5
Ksb Pumps Ltd.,4
Kaynes Technology India Private Ltd.,4
Elantas Beck India Ltd.,4
Apar Industries Ltd.,4
Cera Sanitaryware Ltd.,4
Blue Dart Express Ltd.,3
Infrastructure Development Finance Company Limited,3
V-Guard Industries Ltd.,3
Triveni Engineering & Industries Ltd.,3
Praj Industries Ltd.,3
Mahindra Lifespace Developers Ltd.,3
Blue Star Ltd.,3
KPIT Technologies Ltd.,3
Arvind Ltd.,3
J.b. Chemicals & Pharmaceuticals Ltd.,3
eClerx Services Ltd.,3
ICRA Ltd.,2
Orient Refractories Ltd.,2
CSB Bank Ltd.,2
Triveni Turbine Ltd.,2
CIE AUTOMOTIVE INDIA Ltd.,2
Syrma SGS Technology Ltd.,2
Shaily Engineering Plastics Ltd.,2
Senco Gold Ltd.,2
Bharat Heavy Electricals Ltd.,2
Quess Corp Ltd.,2
Equitas Small Finance Bank Ltd.,2
Power Finance Corporation Ltd.,2
PVR Ltd.,2
Narayana Hrudayalaya Ltd.,2
C.E. Info Systems Ltd.,2
NIIT Learning Systems Ltd.,2
Multi Commodity Exchange Of India Ltd.,2
Minda Corporation Ltd.,2
Firstsource Solutions Ltd.,2
Birlasoft Ltd.,2
Garware Polyester Ltd.,2
Krishna Institute of Medical Sciences Ltd.,2
Kirloskar Oil Engines Ltd.,2
Global Health Ltd.,2
Gokaldas Exports Ltd.,2
ICICI Securities Ltd.,2
Chalet Hotels Ltd.,2
