fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN,,Specialty chemicals,3081.3,3.21%,0.15%,,,13.88 L,0.00,Deepak Nitrite Ltd.,4.4% (Oct 2022),3.07% (Jul 2023),0.15
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/personal-care/jyothylabs/JL,,Household products,2478.1,2.58%,0.06%,,,71.14 L,-2.50 L,Jyothy Laboratories Ltd.,2.78% (Jan 2023),2.29% (Jun 2023),0.06
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,,Computers - software & consulting,2202.0,2.29%,0.07%,,,18.73 L,0.00,KPIT Technologies Ltd.,2.59% (Sep 2022),2.14% (Nov 2022),0.07
Franklin India Smaller Companies Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/diamond-jewellery/kalyanjewellersindia/KJI01,,"Gems, jewellery and watches",2937.2,3.06%,0.44%,,,1.17 Cr,-0.20 Cr,Kalyan Jewellers India Ltd.,3.06% (Aug 2023),0.99% (Mar 2023),0.44
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/packaging/garwarehitechfilms/GP,Garware Polyester Ltd.,Plastic products - industrial,90.3,5.31%,1.12%,5.31% (Sep 2023),0% (Oct 2022),61.75 k,0.00,,,,1.12
Quant Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/indexfutures/nifty/9,Reliance Industries Ltd. : Futures Near,Refineries & marketing,4212.0,4.63%,0.64%,4.63% (Sep 2023),0% (Oct 2022),17.86 L,0.13 Cr,,,,0.64
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,5592.4,4.62%,0.15%,4.86% (Apr 2023),2.87% (Oct 2022),33.01 L,0.00,,,,0.15
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/narayanahrudayalaya/NH,Narayana Hrudayalaya Ltd.,Hospital,7331.8,4.53%,0.10%,4.71% (Jun 2023),4.2% (Apr 2023),67.54 L,0,,,,0.1
DSP Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,5404.4,4.47%,0.31%,4.86% (Apr 2023),2.87% (Oct 2022),33.01 L,0.00,,,,0.31
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,3063.2,4.38%,0.17%,4.6% (Jun 2023),2.73% (Oct 2022),18.71 L,0.00,,,,0.17
Tata Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,2577.0,4.20%,0.15%,4.51% (Oct 2022),3.92% (Jun 2023),2.00 Cr,0.00,,,,0.15
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/packaging/garwarehitechfilms/GP,Garware Polyester Ltd.,Plastic products - industrial,71.4,4.19%,4.19%,4.19% (Aug 2023),0% (Sep 2022),61.75 k,61.75 k,,,,4.19
HDFC Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,Bank Of Baroda,Public sector bank,9163.2,3.94%,0.39%,4.56% (Dec 2022),3.55% (Aug 2023),4.28 Cr,0.00,,,,0.39
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,4876.5,3.92%,0.14%,3.95% (Apr 2023),2.59% (Oct 2022),28.78 L,43.66 k,,,,0.14
Axis Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,6196.7,3.83%,0.51%,3.83% (Sep 2023),0.75% (Nov 2022),53.40 L,0,,,,0.51
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/media-entertainment/pvrinox/PVR,PVR Ltd.,"Film production, distribution & exhibition",2654.6,3.80%,0.26%,3.94% (Mar 2023),0% (Sep 2022),14.82 L,1.50 k,,,,0.26
Quant Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-others/jiofinancialservices/JFS,Jio Financial Services Ltd.,Non banking financial company (nbfc),3063.5,3.79%,2.94%,3.79% (Aug 2023),0% (Sep 2022),1.31 Cr,1.09 Cr,,,,2.94
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,4641.1,3.78%,0.29%,3.95% (Apr 2023),2.59% (Oct 2022),28.35 L,75.86 k,,,,0.29
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/firstsourcesolutions/FS07,Firstsource Solutions Ltd.,It enabled services,8009.3,3.55%,0.20%,3.68% (May 2023),3.24% (Jun 2023),4.91 Cr,2.49 L,,,,0.2
Bank of India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hotel-resort-restaurants/lemontreehotels/LTH,Lemon Tree Hotels Ltd.,Hotels & resorts,242.3,3.54%,0.54%,3.54% (Sep 2023),1.26% (Jul 2023),21.30 L,3.70 L,,,,0.54
Axis Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/birlasoft/KPI02,Birlasoft Ltd.,Computers - software & consulting,5588.3,3.53%,0.41%,3.53% (Aug 2023),2.44% (Apr 2023),1.10 Cr,0,,,,0.41
HSBC Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,4072.9,3.50%,0.22%,3.57% (Apr 2023),1.96% (Nov 2022),7.44 L,-0.12 L,,,,0.22
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,Carborundum Universal Ltd.,Abrasives & bearings,4356.7,3.50%,0.10%,4.75% (Jan 2023),3.4% (Aug 2023),37.02 L,25.00 k,,,,0.1
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,Century Plyboards India Ltd.,Plywood boards/ laminates,4118.5,3.35%,0.13%,4.22% (Sep 2022),3.05% (Mar 2023),60.13 L,3.41 L,,,,0.13
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/software/rategaintraveltechnologies/RTT,Rategain Travel Technologies Ltd.,Computers - software & consulting,214.2,3.34%,0.58%,3.34% (Aug 2023),0.9% (Oct 2022),3.56 L,0.00,,,,0.58
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,856.6,3.32%,0.09%,3.32% (Aug 2023),2.32% (Sep 2022),3.16 L,-0.11 L,,,,0.09
