fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,AIA Engineering Ltd.,Castings & forgings,1128.8,2.67%,0.06%,2.7% (Mar 2023),1.84% (Aug 2022),3.26 L,0.00,0.06
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,2127.7,2.47%,0.35%,2.47% (Jul 2023),1.77% (Aug 2022),13.35 L,0.00,0.35
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,481.3,2.08%,0.24%,2.08% (Jul 2023),0% (Aug 2022),3.02 L,0.00,0.24
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,6916.5,4.74%,0.35%,4.74% (Jul 2023),1.86% (Aug 2022),17.38 L,0.00,0.35
LIC MF Mid cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,56.6,2.81%,0.27%,2.81% (Jul 2023),2.11% (Aug 2022),14.22 k,0.00,0.27
UTI Mid Cap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,Alkem Laboratories Ltd.,Pharmaceuticals,1810.0,2.10%,0.16%,2.16% (Mar 2023),1.63% (Aug 2022),4.55 L,0.00,0.16
Bandhan Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02,Astral Ltd.,Plastic products - industrial,261.3,3.22%,0.15%,3.22% (Jul 2023),0% (Aug 2022),1.33 L,13.89 k,0.15
Tata Mid Cap Growth Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,Aurobindo Pharma Ltd.,Pharmaceuticals,666.0,2.88%,0.50%,2.88% (Jul 2023),0% (Aug 2022),8.10 L,1.10 L,0.5
ICICI Prudential MidCap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,1717.0,4.06%,0.06%,4.06% (Jul 2023),2.34% (Sep 2022),6.75 L,0.00,0.06
DSP Midcap Fund - Direct Plan - GrowthMid Cap Fund,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,Balkrishna Industries Ltd.,Tyres & rubber products,3962.2,2.71%,0.06%,2.71% (Jul 2023),1.84% (Sep 2022),15.58 L,0.00,0.06
