fund_name,stock_url,Stock Invested in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest Holding,1Y_Lowest Holding,Quantity,1M_Change_in_Qty,1m_change1
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/steel-tubes-pipes/aplapollotubes/BT09,APL Apollo Tubes Ltd.,Iron & steel products,754.0,3.51%,0.63%,3.51% (Jul 2023),1.24% (May 2023),4.73 L,43.65 k,0.63
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,4701.3,1.36%,0.01%,1.36% (Jul 2023),0.76% (Sep 2022),12.43 L,0.00,0.01
Axis Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/birlasoft/KPI02,Birlasoft Ltd.,Computers - software & consulting,4684.3,3.12%,0.36%,3.49% (Aug 2022),2.44% (Apr 2023),1.10 Cr,0.00,0.36
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/birlasoft/KPI02,Birlasoft Ltd.,Computers - software & consulting,547.2,2.55%,0.74%,2.55% (Jul 2023),1.09% (Oct 2022),12.81 L,2.97 L,0.74
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/bluestar/BS,Blue Star Ltd.,Household appliances,44.8,2.74%,0.01%,2.89% (Apr 2023),2.29% (Dec 2022),57.16 k,0.00,0.01
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,559.6,1.88%,0.10%,2.01% (Mar 2023),1.6% (Dec 2022),73.91 k,8.00 k,0.1
SBI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,Chalet Hotels Ltd.,Hotels & resorts,4751.6,2.37%,0.13%,2.4% (May 2023),2.2% (Dec 2022),97.17 L,0.00,0.13
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,Chalet Hotels Ltd.,Hotels & resorts,583.7,1.96%,0.15%,1.96% (Jul 2023),1.7% (Aug 2022),11.94 L,0.00,0.15
Axis Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,5205.3,3.46%,0.09%,3.46% (Jul 2023),0.5% (Sep 2022),53.40 L,0.00,0.09
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,1576.9,2.42%,0.02%,2.42% (Jul 2023),1.82% (Aug 2022),16.18 L,0.00,0.02
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,543.2,2.20%,0.07%,2.2% (Jul 2023),0.94% (Dec 2022),5.57 L,0.00,0.07
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,624.2,2.10%,0.07%,2.1% (Jul 2023),1.48% (Dec 2022),6.40 L,0.00,0.07
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,174.8,2.94%,1.24%,2.94% (Jul 2023),1.31% (Jan 2023),1.20 L,46.15 k,1.24
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,629.9,2.59%,0.43%,2.59% (Jul 2023),0% (Aug 2022),4.33 L,68.08 k,0.43
Union Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,246.2,2.53%,0.16%,3.15% (May 2023),1.96% (Oct 2022),1.69 L,0,0.16
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,611.8,2.06%,0.18%,2.45% (Aug 2022),1.67% (Mar 2023),4.20 L,-8.24 k,0.18
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,256.8,1.86%,0.16%,1.86% (Jul 2023),0.99% (Nov 2022),1.76 L,0.00,0.16
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-nbfc/creditaccessgrameen/CG03,CreditAccess Grameen Ltd.,Microfinance institutions,5712.0,1.66%,0.19%,2.01% (Aug 2022),1.22% (Jan 2023),39.22 L,1.50 L,0.19
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/dcbbank/DCB01,DCB Bank Ltd.,Private sector bank,42.5,2.60%,0.96%,2.6% (Jul 2023),0.66% (Aug 2022),3.47 L,1.32 L,0.96
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF,Equitas Small Finance Bank Ltd.,Other bank,729.7,2.99%,0.26%,2.99% (Jul 2023),0% (Aug 2022),77.01 L,13.17 L,0.26
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF,Equitas Small Finance Bank Ltd.,Other bank,620.8,2.71%,0.01%,2.71% (Jul 2023),0% (Aug 2022),65.52 L,0.00,0.01
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/bank-private/equitassmallfinancebank/ESF,Equitas Small Finance Bank Ltd.,Other bank,432.2,2.01%,0.10%,2.01% (Jul 2023),0% (Aug 2022),45.62 L,4.47 L,0.1
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,411.1,1.92%,0.06%,2.25% (Feb 2023),1.86% (Jun 2023),30.31 L,1.58 L,0.06
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04,ICICI Securities Ltd.,Stockbroking & allied,576.3,2.34%,2.34%,2.34% (Jul 2023),0% (Aug 2022),9.07 L,9.07 L,2.34
Tata Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,2375.0,4.18%,0.26%,4.51% (Oct 2022),3.08% (Aug 2022),2.00 Cr,0.00,0.26
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,6124.1,2.91%,0.12%,2.96% (Jan 2023),2.19% (Aug 2022),5.16 Cr,0.00,0.12
PGIM India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,731.3,3.20%,0.04%,3.2% (Jul 2023),0% (Aug 2022),2.92 L,0.00,0.04
LIC MF Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,105.5,6.45%,0.20%,6.45% (Jul 2023),4.08% (Sep 2022),43.42 k,0.00,0.2
Bank of India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,142.4,2.39%,0.31%,2.39% (Jul 2023),1.74% (Nov 2022),58.60 k,10.00 k,0.31
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,264.1,1.91%,0.59%,1.91% (Jul 2023),1.27% (Apr 2023),2.44 L,87.21 k,0.59
